,Data Type,Count,Missing,Unique,Mean,Median,Std,Variance,Min,25%,75%,Max
time,float64,10569,0,10569,633.8561791983448,633.8479033626597,365.9768021077246,133939.01968099663,0.0647980423662488,316.9567272035081,950.7586053146013,1267.659676843887
prs_bpa,float64,10569,0,319,1243.0730330008726,1238.290318150607,18.83541811520607,354.772975574633,1212.337132829786,1229.583978027009,1260.429297322042,1275.851956969558
prs_sp_bpa,float64,10569,0,319,1243.0730330008726,1238.290318150607,18.83541811520607,354.772975574633,1212.337132829786,1229.583978027009,1260.429297322042,1275.851956969558
prs_thr_up,float64,10569,0,320,1243.0101289687652,1238.290318150607,18.84170016709323,355.009665186641,1212.337132829786,1229.583978027009,1260.429297322042,1275.851956969558
prs_tur_down,float64,10569,0,4,981.483979444052,980.9972381170368,0.5382596550533645,0.289723456258167,979.8363927672236,980.9972381170368,982.0751659418632,983.1530937666896
fup_mes,float64,10569,0,320,5.683481253310181,5.712890623794919,0.38612977271849436,0.1490962013796361,4.516601561547264,5.395507811361867,5.981445311238269,6.701660154836347
ti_main1_tu_tmp,float64,10569,0,4,1.3528621440060553,1.2,0.3991564629581418,0.1593258819212544,0.8,1.2,1.6,2.0
prs_thr_up_sp,float64,10569,0,319,1243.0730330008726,1238.290318150607,18.83541811520607,354.772975574633,1212.337132829786,1229.583978027009,1260.429297322042,1275.851956969558
soi_main1_chk_tu[1],float64,10569,0,2539,0.6489625398257132,0.6328125000000142,0.0245301747152423,0.0006017294715603127,0.6093750000000142,0.6328125000000142,0.6719123070191294,0.7265625000000142
soi_main1_chk_tu[4],float64,10569,0,2922,0.6446610792039446,0.6328125000000142,0.030727702310785088,0.0009441916893002273,0.6093750000000142,0.6289575913502774,0.6718844535535999,0.7460625815383364
prs_eg[0],float64,10569,0,10496,1462.984036758117,1462.33285639994,12.609185872025348,158.99156835528365,1431.272783042309,1453.319204881609,1472.473213614587,1494.617902569371
prs_cmpr_up,float64,10569,0,4965,981.4810409826516,981.1777850475568,0.4624938647547705,0.21390057493580394,980.0278314074742,980.9972381170368,981.8970667787182,982.7927053576516
prs_eg_mes[0],float64,10569,0,10496,1462.984036758117,1462.33285639994,12.609185872025348,158.99156835528365,1431.272783042309,1453.319204881609,1472.473213614587,1494.617902569371
soi_main1_chk_tu[2],float64,10569,0,3680,0.6761652400466737,0.6719529213249728,0.05591435356822404,0.0031264149349523682,0.6093750000000142,0.6328125000000142,0.7108213801410329,0.8594641004493333
