,Variance
time,133356.31816167446
pfu_l_mes,12558.559833411302
map_mes,3355.807777811815
prs_eg[0],2433.0977514627566
prs_eg_mes[0],2433.0977514627566
egbp_mes[0],2210.559497991031
n,15.085775028092181
poil,6.351990998043165
fup_mes,4.0897470308031645
pfu_mes,4.0876402628167385
fup_sp,3.968325277604448
fup,3.9677198233057682
prs_sp_bpa,0.11897028499289432
prs_thr_up_sp,0.11897028499289432
prs_bpa,0.11897028499289432
prs_thr_up,0.11872217567628128
prs_tur_down,0.11863944351053954
prs_cmpr_up,0.08678632231653831
prs_thr_down,0.08119250067892686
prs_cmpr_down,0.06782826809892605
prs_up_cmp_prot[0],0.0677032656353195
amp_mes,0.06769587608750198
prs_bpa_dif,0.06762099057889623
map,0.061332581364014156
soi_main1_chk_tu[5],0.0003023434563287468
soi_main1_chk_tu[0],0.000273381436616489
soi_main1_chk_tu[3],0.0002676585664625378
soi_main1,0.0002635200001257473
soi_main1_tu,0.00026336114217373393
soi_main1_chk_tu[1],0.00026209685696392535
soi_main1_bas,0.0002611431197519159
soi_main1_chk_tu[4],0.00024674463857531044
soi_main1_chk_tu[2],0.00023640439853387206
