,Variance
time,133466.1069866608
pfu_l_mes,9025.989186210276
egbp_mes[0],932.2321044330263
map_mes,491.6836233432121
prs_eg_mes[0],140.13114807620624
prs_eg[0],140.13114807620624
poil,6.526674554777662
n,5.367565151184659
prs_tur_down,0.2825810465724867
prs_thr_up_sp,0.2825628843181189
prs_sp_bpa,0.2825628843181189
prs_bpa,0.2825628843181189
prs_thr_up,0.28254471390460706
prs_cmpr_up,0.22648180066020557
amp_mes,0.19595074893206413
prs_up_cmp_prot[0],0.19412737009442307
prs_thr_down,0.1941260384177782
prs_bpa_dif,0.19406760831888972
prs_cmpr_down,0.1939938722891735
map,0.18402266305227227
ti_main1_tu_[0],0.1493704558138822
fup_mes,0.04227791475883556
ti_main1_tu,0.02221867690341453
pfu_mes,0.015340302144720916
fup,0.0028755072684758807
fup_sp,0.0006767123824153128
soi_main1_chk_tu[3],1.8404396438405783e-05
soi_main1_chk_tu[4],1.0999679108856275e-05
soi_main1_tu,3.6714097184044413e-06
soi_main1,3.644759868743774e-06
soi_main1_chk_tu[2],2.4385148992586546e-07
soi_main1_chk_tu[5],1.532026984290155e-07
