,time,prs_thr_up_sp,prs_tur_down,fup_mes,prs_bpa,prs_thr_up,prs_sp_bpa,prs_eg[0],soi_main1_chk_tu[1],soi_main1_chk_tu[4],soi_main1_chk_tu[3],prs_eg_mes[0],soi_main1_chk_tu[2],poil,prs_cmpr_up,soi_main1_chk_tu[5],map,prs_up_cmp_prot[0],prs_bpa_dif,pfu_mes,egbp_mes[0],pfu_l_mes,prs_cmpr_down,amp_mes,map_mes,soi_main1_tu,prs_thr_down,n,soi_main1_chk_tu[0],fup,fup_sp
time,1.0,0.11103842372850634,0.1100897562838505,0.016491196575638464,0.11103842372850634,0.10922492694403273,0.11103842372850634,-0.4634803444734071,-0.5439528645018141,-0.5441400674503623,-0.5441399465098007,-0.4634803444734071,-0.5439528043792334,0.006726007409962264,0.12601779538072835,-0.5440286974648222,0.13549853027495873,0.12753480940178077,-0.12896519160833536,0.07973505050258307,-0.4511671550004457,-0.06200729898861153,0.1279257632099797,0.13743734182005707,-0.5070975929787195,-0.543917266429843,0.13251250781080162,0.08726627910770465,-0.5441180721252605,0.07104056144578612,0.1308075399666495
prs_thr_up_sp,0.11103842372850634,1.0,0.9974282647585891,0.01046059706823695,1.0,0.9954477942177661,1.0,-0.036873356562931676,-0.042534752803421415,-0.04248886256726223,-0.04248867958428718,-0.036873356562931676,-0.04253466174307975,-0.016392710565524767,0.8977707171764201,-0.04252704597811969,0.8045024503859696,0.8296910504802538,-0.8275900269055146,0.010486226946907035,-0.03699866408208967,-0.027103090970269566,0.8302306610257286,0.8927180523392043,-0.037336209525918415,-0.042539755288338914,0.8220952648271562,0.006190292981576131,-0.04249031534223125,0.007836283381520663,0.0009360813207117382
prs_tur_down,0.1100897562838505,0.9974282647585891,1.0,0.008930627242253757,0.9974282647585866,0.9980206001494651,0.9974282647585866,-0.03622514366102148,-0.04173883670084614,-0.04169303633168455,-0.041692853997778535,-0.03622514366102148,-0.041738745963473906,-0.01657809788445246,0.8996829774229601,-0.04173115730446383,0.8044322600096864,0.8285847287439739,-0.8264833761097304,0.009979183334830225,-0.03624203100317601,-0.026203973289804432,0.8291259799989509,0.8916436933138998,-0.036594664932775356,-0.04174378508431877,0.8201736724693716,0.005712053874689816,-0.041694430013748784,0.007103636280785768,0.00019783373717705019
fup_mes,0.016491196575638464,0.01046059706823695,0.008930627242253757,1.0,0.010460597068236622,0.008001504986832587,0.010460597068236622,-0.009051570354064899,-0.035078378622992665,-0.0353142844308423,-0.03531462308355,-0.009051570354064899,-0.03507860156153347,0.0025840934549431036,-0.0011127494274309128,-0.03523810895880229,-0.004857268724936224,-0.001420504829448842,0.0011718883662393401,-0.07797248947759182,-0.042707665702212766,0.004684137702784728,-0.0012741908960997703,0.006406426319907104,-0.033033041182325806,-0.035191158542505985,0.007306114403173554,0.029263478403522357,-0.03527528383008697,0.07427370613062023,0.07877506975473644
prs_bpa,0.11103842372850634,1.0,0.9974282647585866,0.010460597068236622,1.0,0.9954477942177661,1.0,-0.036873356562931676,-0.042534752803421415,-0.04248886256726223,-0.04248867958428718,-0.036873356562931676,-0.04253466174307975,-0.016392710565524767,0.8977707171764201,-0.04252704597811969,0.8045024503859696,0.8296910504802538,-0.8275900269055146,0.010486226946907035,-0.03699866408208967,-0.027103090970269566,0.8302306610257286,0.8927180523392043,-0.037336209525918415,-0.042539755288338914,0.8220952648271562,0.006190292981576131,-0.04249031534223125,0.007836283381520663,0.0009360813207117382
prs_thr_up,0.10922492694403273,0.9954477942177661,0.9980206001494651,0.008001504986832587,0.9954477942177661,1.0,0.9954477942177661,-0.03551574714518241,-0.041131227871479104,-0.04108550704931322,-0.0410853253810763,-0.03551574714518241,-0.04113113746533424,-0.01660241277438639,0.9010332473105063,-0.04112354037516152,0.80413701018634,0.8275295353828777,-0.8254268965930776,0.009785940860260979,-0.03564449328836319,-0.026106391653533085,0.8280734776553929,0.8906601870619962,-0.03600029295103861,-0.041136132531286465,0.8184823194804085,0.005541127903048876,-0.041086893773035454,0.007343436602225105,7.986605367046355e-05
prs_sp_bpa,0.11103842372850634,1.0,0.9974282647585866,0.010460597068236622,1.0,0.9954477942177661,1.0,-0.036873356562931676,-0.042534752803421415,-0.04248886256726223,-0.04248867958428718,-0.036873356562931676,-0.04253466174307975,-0.016392710565524767,0.8977707171764201,-0.04252704597811969,0.8045024503859696,0.8296910504802538,-0.8275900269055146,0.010486226946907035,-0.03699866408208967,-0.027103090970269566,0.8302306610257286,0.8927180523392043,-0.037336209525918415,-0.042539755288338914,0.8220952648271562,0.006190292981576131,-0.04249031534223125,0.007836283381520663,0.0009360813207117382
prs_eg[0],-0.4634803444734071,-0.036873356562931676,-0.03622514366102148,-0.009051570354064899,-0.036873356562931676,-0.03551574714518241,-0.036873356562931676,1.0,0.9644838570883589,0.9646890733437264,0.9646884500170237,1.0,0.9644835234086885,0.003933837471598882,-0.04347092988892561,0.9645917372334587,-0.047629804810479695,-0.04660532336634499,0.04729348115051443,-0.09425817585568885,0.9615358137631013,0.020024036675994377,-0.04666027234976458,-0.04364047435716537,0.964808650846865,0.9644020683183188,-0.044274988003842,-0.018118615656098222,0.9646359480618929,-0.009239707648249952,-0.013212756870474728
soi_main1_chk_tu[1],-0.5439528645018141,-0.042534752803421415,-0.04173883670084614,-0.035078378622992665,-0.042534752803421415,-0.041131227871479104,-0.042534752803421415,0.9644838570883589,1.0,0.9998358411947487,0.9998358405486397,0.9644838570883582,0.9999999996307362,0.005910753145398656,-0.048908828407321275,0.999917167890748,-0.05179393011376573,-0.050036114859684164,0.05073237905597788,-0.10159221849140107,0.9612379852069604,0.028229943109622305,-0.05014292184389953,-0.05106740534982715,0.9838256859786552,0.9999524154589597,-0.04955034459168864,-0.06251203567849146,0.999834784504853,-0.04599324723821633,-0.08699293727855745
soi_main1_chk_tu[4],-0.5441400674503623,-0.04248886256726223,-0.04169303633168455,-0.0353142844308423,-0.04248886256726223,-0.04108550704931322,-0.04248886256726223,0.9646890733437264,0.9998358411947487,1.0,0.9999999991185569,0.9646890733437263,0.9998358408308422,0.006012738007246812,-0.04878011111111124,0.999918675049427,-0.05167897554942745,-0.04994331799774331,0.05063950585814006,-0.10133149051183382,0.9614213090781961,0.028071852816732152,-0.0500501547892335,-0.05097517380803736,0.9840793462184458,0.9997860764838654,-0.04958233655501826,-0.062212417172626565,0.999932475368861,-0.045575709195503154,-0.08698534133254243
