,Data Type,Count,Missing,Unique,Mean,Median,Std,Variance,Min,25%,75%,Max
time,float64,16896,0,16896,633.3608914628658,633.3688630373886,365.6456157680923,133696.71633042736,0.0654444840784123,316.7361737156789,949.9915314349083,1266.602278497879
prs_thr_up_sp,float64,16896,0,3,984.3590000015896,984.231021591516,0.416950928328036,0.17384807663361102,983.1530937666896,984.231021591516,984.231021591516,985.3089494163426
prs_tur_down,float64,16896,0,3,984.3589362037781,984.231021591516,0.4168880299409382,0.1737956295080366,983.1530937666896,984.231021591516,984.231021591516,985.3089494163426
fup_mes,float64,16896,0,196,7.980383524511791,7.977294920192262,0.17900314417464608,0.032042125624409126,7.159423826614785,7.861328123341725,8.099365232666514,8.703613279414053
prs_bpa,float64,16896,0,3,984.3590000015896,984.231021591516,0.416950928328036,0.17384807663361102,983.1530937666896,984.231021591516,984.231021591516,985.3089494163426
prs_thr_up,float64,16896,0,3,984.3586810125316,984.231021591516,0.4166362437399141,0.1735857595977051,983.1530937666896,984.231021591516,984.231021591516,985.3089494163426
prs_sp_bpa,float64,16896,0,3,984.3590000015896,984.231021591516,0.416950928328036,0.17384807663361102,983.1530937666896,984.231021591516,984.231021591516,985.3089494163426
prs_eg[0],float64,16896,0,16627,2356.0066533602653,2364.7438830784786,20.49041253445332,419.85700583208165,2311.85154503813,2336.9683395721886,2372.380260207866,2394.29575896267
soi_main1_chk_tu[1],float64,16896,0,9,0.18020932436408674,2.601562500000014,5.636069208149989,31.765276119056445,-8.390625,-4.40625,2.601562500000014,7.593750000000014
soi_main1_chk_tu[4],float64,16896,0,9,0.17985538717188118,2.601562500000014,5.636681685444882,31.772180423029752,-8.390625,-4.40625,2.601562500000014,7.593750000000014
soi_main1_chk_tu[3],float64,16896,0,12,0.1798526118615661,2.601562500000014,5.636685910476065,31.772228053359388,-8.4140625,-4.40625,2.601562500000014,7.593750000000014
prs_eg_mes[0],float64,16896,0,16627,2356.0066533602653,2364.7438830784786,20.49041253445332,419.85700583208165,2311.85154503813,2336.9683395721886,2372.380260207866,2394.29575896267
soi_main1_chk_tu[2],float64,16896,0,11,0.18020794364960882,2.601562500000014,5.636071310023605,31.765299811671195,-8.410174149798449,-4.40625,2.601562500000014,7.593750000000014
poil,float64,16896,0,13643,6848.1681826848,6849.153398947128,2.566165581926099,6.585205793862116,6838.36092636892,6845.1643730375945,6849.9556454900185,6856.586778403448
prs_cmpr_up,float64,16896,0,3400,984.3568011021042,984.231021591516,0.3689565543030569,0.1361289389631846,983.1530937666896,984.231021591516,984.231021591516,985.3089494163426
soi_main1_chk_tu[5],float64,16896,0,9,0.1805074023793125,2.601562500000014,5.636326919829336,31.76818114719285,-8.390625,-4.40625,2.601562500000014,7.593750000000014
map,float64,16896,0,3400,984.3539505740271,984.231021591516,0.32952113475716177,0.10858417825164755,983.1530937666896,984.231021591516,984.231021591516,985.3089494163426
prs_up_cmp_prot[0],float64,16896,0,3400,984.3541886495042,984.231021591516,0.33933607798106896,0.11514897381957412,983.1530937666896,984.231021591516,984.231021591516,985.3089494163426
prs_bpa_dif,float64,16896,0,3400,-34.11935149388909,-33.99618524452251,0.3393328538890132,0.11514678572846236,-35.07411306934894,-33.99618524452251,-33.99618524452251,-32.91825741969608
pfu_mes,float64,16896,0,16828,8.10135676484953,8.100480667312574,0.11488281716157644,0.013198061678980202,7.668597139010526,8.022545014786488,8.178336127876172,8.549328344848705
egbp_mes[0],float64,16896,0,16524,2330.702449673109,2338.8212208168925,17.614193625815258,310.25981708771087,2292.116751592835,2314.752784067313,2345.0635149266272,2360.092665049434
pfu_l_mes,float64,16896,0,12446,4617.57624714122,4621.796626866202,108.46086207688424,11763.758602460905,4306.064954788028,4538.076142519265,4692.085820402601,4910.280073629086
prs_cmpr_down,float64,16896,0,3400,984.3545078411242,984.231021591516,0.33972656379303856,0.1154141381466255,983.1530937666896,984.231021591516,984.231021591516,985.3089494163426
amp_mes,float64,16896,0,3400,984.3584778228403,984.231021591516,0.34509501880724136,0.11909057200557027,983.1530937666896,984.231021591516,984.231021591516,985.3089494163426
map_mes,float64,16896,0,14487,1642.3481293603627,1650.897324892859,20.988382132097705,440.51218452295814,1606.58329992663,1620.4288711133304,1655.143873927221,1675.071646996315
soi_main1_tu,float64,16896,0,9,0.1802488202970178,2.601562500000014,5.635691425061839,31.761017838515542,-8.390625,-4.40625,2.601562500000014,7.593750000000014
prs_thr_down,float64,16896,0,4568,984.3569950135895,984.231021591516,0.34233017446175634,0.11718994834701654,983.1530937666896,984.231021591516,984.2452133659035,985.3089494163426
n,float64,16896,0,12991,1600.350218288138,1600.3948399384765,1.2395640414043274,1.5365190127426291,1596.023927756807,1599.4412095727757,1601.0209250860958,1606.026995215275
soi_main1_chk_tu[0],float64,16896,0,11,0.17940870795063998,2.601562500000014,5.636179770633877,31.76652240690254,-8.390625,-4.40625,2.601562500000014,7.593750000000014
fup,float64,16896,0,16156,8.029206588369544,8.02781967704696,0.036394038421960574,0.0013245260326591427,7.872666153787319,8.004573907404984,8.052348396146177,8.272931176052312
fup_sp,float64,16896,0,5180,8.013570233920262,7.998657224875257,0.022524895179404328,0.0005073709028431523,7.998657224875257,7.998657224875257,8.032104196766264,8.20007324045777
