,Variance
time,133696.71633042736
pfu_l_mes,11763.758602460905
map_mes,440.51218452295814
prs_eg_mes[0],419.85700583208165
prs_eg[0],419.85700583208165
egbp_mes[0],310.25981708771087
soi_main1_chk_tu[3],31.772228053359388
soi_main1_chk_tu[4],31.772180423029752
soi_main1_chk_tu[5],31.76818114719285
soi_main1_chk_tu[0],31.76652240690254
soi_main1_chk_tu[2],31.765299811671195
soi_main1_chk_tu[1],31.765276119056445
soi_main1_tu,31.761017838515542
poil,6.585205793862116
n,1.5365190127426291
prs_sp_bpa,0.17384807663361102
prs_bpa,0.17384807663361102
prs_thr_up_sp,0.17384807663361102
prs_tur_down,0.1737956295080366
prs_thr_up,0.1735857595977051
prs_cmpr_up,0.1361289389631846
amp_mes,0.11909057200557027
prs_thr_down,0.11718994834701654
prs_cmpr_down,0.1154141381466255
prs_up_cmp_prot[0],0.11514897381957412
prs_bpa_dif,0.11514678572846236
map,0.10858417825164755
fup_mes,0.032042125624409126
pfu_mes,0.013198061678980202
fup,0.0013245260326591427
fup_sp,0.0005073709028431523
